"SalesOrderID","SalesOrderDetailID","OrderQty","ProductID","UnitPrice","LineTotal"
52210,43714,1,870,"4.9900",4.990000
59190,70773,1,870,"4.9900",4.990000
68475,99891,1,870,"4.9900",4.990000
71556,110030,1,870,"4.9900",4.990000
51586,38891,1,870,"4.9900",4.990000
56113,58158,1,870,"4.9900",4.990000
56438,58969,1,870,"4.9900",4.990000
63064,81573,1,870,"4.9900",4.990000
62757,80804,1,870,"4.9900",4.990000
64042,85678,1,870,"4.9900",4.990000
65750,91634,1,870,"4.9900",4.990000
72135,114021,1,870,"4.9900",4.990000
72355,114557,1,870,"4.9900",4.990000
74151,119117,1,870,"4.9900",4.990000
75031,121094,1,870,"4.9900",4.990000
51964,43138,1,870,"4.9900",4.990000
54136,51740,1,870,"4.9900",4.990000
59082,70491,1,870,"4.9900",4.990000
61957,78842,1,870,"4.9900",4.990000
63679,84756,1,870,"4.9900",4.990000
66084,92444,1,870,"4.9900",4.990000
72645,115328,1,870,"4.9900",4.990000
74153,119121,1,870,"4.9900",4.990000
56365,58786,1,870,"4.9900",4.990000
57310,63541,1,870,"4.9900",4.990000
59914,72602,1,870,"4.9900",4.990000
62935,81247,1,870,"4.9900",4.990000
68012,98750,1,870,"4.9900",4.990000
66086,92449,1,870,"4.9900",4.990000
71608,110153,1,870,"4.9900",4.990000
51267,38006,1,870,"4.9900",4.990000
52286,43921,1,870,"4.9900",4.990000
55227,54381,1,870,"4.9900",4.990000
59391,71292,1,870,"4.9900",4.990000
64297,86302,1,870,"4.9900",4.990000
64680,87278,1,870,"4.9900",4.990000
67549,97609,1,870,"4.9900",4.990000
68515,99997,1,870,"4.9900",4.990000
71130,108981,1,870,"4.9900",4.990000
53175,46061,1,870,"4.9900",4.990000
54514,52664,1,870,"4.9900",4.990000
58593,66698,1,870,"4.9900",4.990000
65395,90758,1,870,"4.9900",4.990000
66927,94505,1,870,"4.9900",4.990000
52621,44740,1,870,"4.9900",4.990000
57379,63707,1,870,"4.9900",4.990000
59209,70814,1,870,"4.9900",4.990000
62861,81050,1,870,"4.9900",4.990000
69087,101441,1,870,"4.9900",4.990000
74813,120594,1,870,"4.9900",4.990000
74916,120824,1,870,"4.9900",4.990000
51203,37826,1,870,"4.9900",4.990000
53410,46646,1,870,"4.9900",4.990000
63605,84575,1,870,"4.9900",4.990000
67552,97617,1,870,"4.9900",4.990000
68272,99386,1,870,"4.9900",4.990000
52398,44196,1,870,"4.9900",4.990000
54384,52343,1,870,"4.9900",4.990000
55617,56915,1,870,"4.9900",4.990000
59634,71905,1,870,"4.9900",4.990000
60237,73394,1,870,"4.9900",4.990000
63761,84963,1,870,"4.9900",4.990000
64302,86314,1,870,"4.9900",4.990000
65087,88263,1,870,"4.9900",4.990000
66261,92907,1,870,"4.9900",4.990000
54047,51521,1,870,"4.9900",4.990000
59630,71894,1,870,"4.9900",4.990000
61320,77244,1,870,"4.9900",4.990000
69373,102162,1,870,"4.9900",4.990000
74845,120669,1,870,"4.9900",4.990000
51387,38336,1,870,"4.9900",4.990000
53409,46642,1,870,"4.9900",4.990000
56112,58153,1,870,"4.9900",4.990000
56945,60197,1,870,"4.9900",4.990000
58595,66703,1,870,"4.9900",4.990000
52582,44644,1,870,"4.9900",4.990000
53866,51086,1,870,"4.9900",4.990000
61103,75570,1,870,"4.9900",4.990000
68666,100397,1,870,"4.9900",4.990000
70460,107293,1,870,"4.9900",4.990000
54807,53393,1,870,"4.9900",4.990000
57302,63515,1,870,"4.9900",4.990000
60368,73739,1,870,"4.9900",4.990000
64958,87947,1,870,"4.9900",4.990000
66359,93122,1,870,"4.9900",4.990000
67944,98569,1,870,"4.9900",4.990000
72494,114927,1,870,"4.9900",4.990000
54434,52469,1,870,"4.9900",4.990000
60255,73436,1,870,"4.9900",4.990000
62344,79775,1,870,"4.9900",4.990000
66772,94125,1,870,"4.9900",4.990000
67969,98639,1,870,"4.9900",4.990000
69166,101644,1,870,"4.9900",4.990000
72062,113834,1,870,"4.9900",4.990000
51314,38130,1,870,"4.9900",4.990000
57677,64429,1,870,"4.9900",4.990000
61165,75723,1,870,"4.9900",4.990000
62474,80116,1,870,"4.9900",4.990000
65615,91295,1,870,"4.9900",4.990000
66750,94061,1,870,"4.9900",4.990000
69791,105590,1,870,"4.9900",4.990000
71222,109204,1,870,"4.9900",4.990000
71356,109557,1,870,"4.9900",4.990000
73313,116992,1,870,"4.9900",4.990000
74223,119281,1,870,"4.9900",4.990000
59695,72048,1,870,"4.9900",4.990000
61719,78261,1,870,"4.9900",4.990000
63619,84619,1,870,"4.9900",4.990000
63796,85050,1,870,"4.9900",4.990000
72514,114973,1,870,"4.9900",4.990000
72647,115335,1,870,"4.9900",4.990000
51282,38046,1,870,"4.9900",4.990000
54187,51866,1,870,"4.9900",4.990000
63994,85545,1,870,"4.9900",4.990000
64117,85873,1,870,"4.9900",4.990000
66205,92756,1,870,"4.9900",4.990000
67080,94870,1,870,"4.9900",4.990000
70375,107072,1,870,"4.9900",4.990000
57197,63280,1,870,"4.9900",4.990000
59124,70600,1,870,"4.9900",4.990000
61101,75565,1,870,"4.9900",4.990000
64176,86004,1,870,"4.9900",4.990000
66520,93491,1,870,"4.9900",4.990000
67825,98278,1,870,"4.9900",4.990000
72249,114298,1,870,"4.9900",4.990000
56640,59478,1,870,"4.9900",4.990000
63817,85105,1,870,"4.9900",4.990000
64674,87259,1,870,"4.9900",4.990000
64727,87400,1,870,"4.9900",4.990000
66621,93755,1,870,"4.9900",4.990000
73182,116686,1,870,"4.9900",4.990000
59084,70495,1,870,"4.9900",4.990000
59328,71134,1,870,"4.9900",4.990000
60648,74412,1,870,"4.9900",4.990000
67130,94979,1,870,"4.9900",4.990000
69003,101229,1,870,"4.9900",4.990000
69247,101843,1,870,"4.9900",4.990000
69662,105265,1,870,"4.9900",4.990000
51666,39098,1,870,"4.9900",4.990000
51978,43175,1,870,"4.9900",4.990000
52025,43290,1,870,"4.9900",4.990000
56216,58418,1,870,"4.9900",4.990000
60834,74886,1,870,"4.9900",4.990000
64853,87703,1,870,"4.9900",4.990000
66689,93917,1,870,"4.9900",4.990000
71282,109354,1,870,"4.9900",4.990000
52726,44985,1,870,"4.9900",4.990000
57369,63686,1,870,"4.9900",4.990000
59123,70596,1,870,"4.9900",4.990000
68934,101065,1,870,"4.9900",4.990000
70072,106308,1,870,"4.9900",4.990000
73412,117245,1,870,"4.9900",4.990000
52207,43700,1,870,"4.9900",4.990000
52581,44640,1,870,"4.9900",4.990000
56187,58350,1,870,"4.9900",4.990000
58716,66998,1,870,"4.9900",4.990000
63117,81708,1,870,"4.9900",4.990000
68521,100015,1,870,"4.9900",4.990000
70871,108320,1,870,"4.9900",4.990000
73076,116417,1,870,"4.9900",4.990000
74105,118989,1,870,"4.9900",4.990000
55037,53926,1,870,"4.9900",4.990000
55081,54031,1,870,"4.9900",4.990000
57248,63399,1,870,"4.9900",4.990000
58404,66229,1,870,"4.9900",4.990000
62232,79493,1,870,"4.9900",4.990000
64959,87949,1,870,"4.9900",4.990000
65635,91336,1,870,"4.9900",4.990000
71076,108833,1,870,"4.9900",4.990000
71425,109718,1,870,"4.9900",4.990000
59816,72349,1,870,"4.9900",4.990000
60770,74728,1,870,"4.9900",4.990000
64676,87267,1,870,"4.9900",4.990000
68201,99207,1,870,"4.9900",4.990000
69313,102020,1,870,"4.9900",4.990000
71333,109491,1,870,"4.9900",4.990000
72516,114978,1,870,"4.9900",4.990000
55540,56707,1,870,"4.9900",4.990000
62031,79018,1,870,"4.9900",4.990000
66250,92870,1,870,"4.9900",4.990000
68449,99827,1,870,"4.9900",4.990000
68743,100601,1,870,"4.9900",4.990000
70870,108317,1,870,"4.9900",4.990000
72138,114028,1,870,"4.9900",4.990000
64600,87064,1,870,"4.9900",4.990000
69072,101401,1,870,"4.9900",4.990000
73108,116492,1,870,"4.9900",4.990000
54096,51632,1,870,"4.9900",4.990000
55225,54375,1,870,"4.9900",4.990000
56528,59195,1,870,"4.9900",4.990000
63626,84638,1,870,"4.9900",4.990000
69632,105195,1,870,"4.9900",4.990000
71196,109136,1,870,"4.9900",4.990000
51479,38591,1,870,"4.9900",4.990000
53354,46508,1,870,"4.9900",4.990000
61920,78757,1,870,"4.9900",4.990000
62671,80595,1,870,"4.9900",4.990000
66014,92259,1,870,"4.9900",4.990000
67646,97849,1,870,"4.9900",4.990000
68736,100585,1,870,"4.9900",4.990000
53971,51341,1,870,"4.9900",4.990000
61842,78558,1,870,"4.9900",4.990000
68869,100898,1,870,"4.9900",4.990000
70357,107021,1,870,"4.9900",4.990000
71956,113570,1,870,"4.9900",4.990000
72331,114493,1,870,"4.9900",4.990000
57795,64699,1,870,"4.9900",4.990000
61273,77134,1,870,"4.9900",4.990000
63936,85399,1,870,"4.9900",4.990000
65956,92117,1,870,"4.9900",4.990000
70577,107588,1,870,"4.9900",4.990000
72709,115498,1,870,"4.9900",4.990000
74591,120081,1,870,"4.9900",4.990000
55603,56874,1,870,"4.9900",4.990000
65440,90870,1,870,"4.9900",4.990000
67887,98434,1,870,"4.9900",4.990000
71690,110356,1,870,"4.9900",4.990000
52026,43292,1,870,"4.9900",4.990000
52166,43607,1,870,"4.9900",4.990000
53289,46331,1,870,"4.9900",4.990000
59406,71334,1,870,"4.9900",4.990000
64617,87108,1,870,"4.9900",4.990000
55606,56883,1,870,"4.9900",4.990000
68819,100774,1,870,"4.9900",4.990000
69314,102021,1,870,"4.9900",4.990000
70599,107643,1,870,"4.9900",4.990000
74621,120149,1,870,"4.9900",4.990000
51627,39000,1,870,"4.9900",4.990000
52964,45557,1,870,"4.9900",4.990000
54422,52441,1,870,"4.9900",4.990000
57232,63359,1,870,"4.9900",4.990000
68791,100712,1,870,"4.9900",4.990000
69724,105421,1,870,"4.9900",4.990000
69728,105427,1,870,"4.9900",4.990000
71560,110042,1,870,"4.9900",4.990000
52154,43575,1,870,"4.9900",4.990000
56263,58539,1,870,"4.9900",4.990000
56371,58802,1,870,"4.9900",4.990000
59659,71977,1,870,"4.9900",4.990000
60026,72880,1,870,"4.9900",4.990000
63625,84635,1,870,"4.9900",4.990000
65382,90724,1,870,"4.9900",4.990000
71289,109373,1,870,"4.9900",4.990000
61158,75706,1,870,"4.9900",4.990000
61367,77355,1,870,"4.9900",4.990000
70097,106373,1,870,"4.9900",4.990000
72438,114788,1,870,"4.9900",4.990000
54593,52874,1,870,"4.9900",4.990000
55144,54195,1,870,"4.9900",4.990000
55666,57041,1,870,"4.9900",4.990000
60054,72951,1,870,"4.9900",4.990000
63945,85422,1,870,"4.9900",4.990000
66007,92237,1,870,"4.9900",4.990000
66885,94405,1,870,"4.9900",4.990000
71348,109535,1,870,"4.9900",4.990000
51198,37813,1,870,"4.9900",4.990000
51543,38766,1,870,"4.9900",4.990000
53780,50870,1,870,"4.9900",4.990000
57432,63835,1,870,"4.9900",4.990000
61436,77530,1,870,"4.9900",4.990000
68790,100709,1,870,"4.9900",4.990000
69630,105189,1,870,"4.9900",4.990000
69925,105940,1,870,"4.9900",4.990000
73343,117072,1,870,"4.9900",4.990000
73788,118215,1,870,"4.9900",4.990000
51196,37804,1,870,"4.9900",4.990000
51579,38868,1,870,"4.9900",4.990000
51683,39140,1,870,"4.9900",4.990000
57247,63397,1,870,"4.9900",4.990000
69160,101627,1,870,"4.9900",4.990000
